Hora, Tipo Registro, Mensaje,Robot

2023-08-15 15:42:36.286647, TRACE, Inicio Ejecucion, CambioTitularidad Edwin
2023-08-15 15:42:36.328996, TRACE, Inicio del modulo Init ,InitConfig
2023-08-15 15:42:36.572806, TRACE, Fin del modulo Init ,InitConfig
2023-08-15 15:42:36.625661, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-15 15:42:43.885952, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-15 15:42:43.934805, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-15 15:42:46.343309, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-15 15:42:46.387990, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-15 15:42:46.427526, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-15 15:43:47.625387, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-15 15:43:47.651405, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-15 15:43:47.681261, TRACE, Fin del modulo Init ,Init
2023-08-15 15:43:48.045727, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-15 15:43:50.095453, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-15 15:43:50.706124, TRACE, Inicio del modulo Process ,Process
2023-08-15 15:43:50.751047, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-15 15:43:51.824803, ERROR, "Error inesperado" ,Work_Data
2023-08-15 15:48:37.648817, TRACE, Incio del modulo Init ,Init

2023-08-15 15:48:37.714882, TRACE, Inicio Ejecucion, CambioTitularidad Edwin
2023-08-15 15:48:37.756094, TRACE, Inicio del modulo Init ,InitConfig
2023-08-15 15:48:37.871039, TRACE, Fin del modulo Init ,InitConfig
2023-08-15 15:48:37.917868, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-15 15:48:45.102069, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-15 15:48:45.152985, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-15 15:48:47.749509, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-15 15:48:47.789386, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-15 15:48:47.832472, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-15 15:49:52.738716, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-15 15:49:52.765960, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-15 15:49:52.794868, TRACE, Fin del modulo Init ,Init
2023-08-15 15:49:53.162658, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-15 15:49:54.959717, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-15 15:49:55.583843, TRACE, Inicio del modulo Process ,Process
2023-08-15 15:49:55.623893, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-15 15:49:56.742264, INFO, "Fin del modulo Work Data" ,Work_Data
2023-08-15 15:49:56.808869, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-08-15 15:49:56.852635, INFO, "Reintento numero "1" De "3 ,Ultimas_Validaciones
2023-08-15 15:49:56.896189, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-08-15 15:49:56.947523, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-08-15 15:50:07.396099, INFO, "Intento de click en Buscar numero"+1+" de 10" ,Buscar_Cliente
2023-08-15 15:50:08.790712, INFO, "Intento de click en Buscar numero"+2+" de 10" ,Buscar_Cliente
2023-08-15 15:50:10.188325, INFO, "Intento de click en Buscar numero"+3+" de 10" ,Buscar_Cliente
2023-08-15 15:50:11.585045, INFO, "Intento de click en Buscar numero"+4+" de 10" ,Buscar_Cliente
2023-08-15 15:50:12.992071, INFO, "Intento de click en Buscar numero"+5+" de 10" ,Buscar_Cliente
2023-08-15 15:50:14.387653, INFO, "Intento de click en Buscar numero"+6+" de 10" ,Buscar_Cliente
2023-08-15 15:50:15.808891, INFO, "Intento de click en Buscar numero"+7+" de 10" ,Buscar_Cliente
2023-08-15 15:50:17.211006, INFO, "Intento de click en Buscar numero"+8+" de 10" ,Buscar_Cliente
