Hora, Tipo Registro, Mensaje,Robot

2023-09-13 09:24:54.442953, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-13 09:24:54.494897, TRACE, Inicio del modulo Init ,InitConfig
2023-09-13 09:24:54.859484, TRACE, Fin del modulo Init ,InitConfig
2023-09-13 09:24:54.927033, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-13 09:25:01.932091, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-13 09:25:01.996552, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-13 09:25:02.075638, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-13 09:25:03.730444, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-13 09:25:05.460797, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-13 09:25:05.503921, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-13 09:25:05.546916, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-13 09:25:05.599941, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-13 09:25:26.074947, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-13 09:25:26.130226, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-13 09:25:26.187566, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-13 09:26:09.041605, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-13 09:26:09.106471, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-13 09:26:22.684610, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-13 09:26:22.719611, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-13 09:26:22.757610, TRACE, Fin del modulo Init ,Init
2023-09-13 09:26:23.153262, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-13 09:26:25.591056, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-13 09:26:26.230395, TRACE, Inicio del modulo Process ,Process
2023-09-13 09:26:26.309693, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-13 09:26:27.261428, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-13 09:26:27.360069, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-13 09:26:31.244748, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-13 09:26:31.293245, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-13 09:26:41.428646, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
