Hora, Tipo Registro, Mensaje,Robot

2023-09-20 22:06:10.449658, TRACE, Inicio Ejecucion, RB_ES_EDSA_003_CambioCuenta
2023-09-20 22:06:10.482651, TRACE, Inicio del modulo Init ,InitConfig
2023-09-20 22:06:10.602664, TRACE, Fin del modulo Init ,InitConfig
2023-09-20 22:06:10.642651, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:06:18.017585, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:06:18.054588, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-20 22:06:18.087589, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-20 22:06:18.125584, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-20 22:06:18.162585, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-20 22:06:19.546856, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-20 22:06:21.046453, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-20 22:06:21.081455, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-20 22:06:21.113455, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-20 22:06:21.149463, TRACE, Fin del modulo Init ,Init
2023-09-20 22:07:16.650060, TRACE, Incio del modulo Init ,Init

2023-09-20 22:07:16.708067, TRACE, Inicio Ejecucion, RB_ES_EDSA_003_CambioCuenta
2023-09-20 22:07:16.738053, TRACE, Inicio del modulo Init ,InitConfig
2023-09-20 22:07:16.850057, TRACE, Fin del modulo Init ,InitConfig
2023-09-20 22:07:16.887054, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:07:24.243826, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:07:24.279826, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-20 22:07:24.313827, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-20 22:07:24.356833, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-20 22:07:24.395825, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-20 22:07:25.826201, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
